ID,MatchID,PeriodID,EventType,Timestamp,Tweet
2_0,2,0,0,1403538600000,esp beat au 'll give away 2014 spain jersey one lucky winner ! follow rt enter !
2_0,2,0,0,1403538600000,visit sitep official web site spanis real state tourims paris september'14 ! esp fra !
2_0,2,0,0,1403538600000,winner au v esp match 'll give away jersey ! enter : 1. follow u . 2. retweet .
2_0,2,0,0,1403538600000,au beat esp 'll give away 2014 australia jersey one lucky winner ! follow rt enter !
2_0,2,0,0,1403538600000,"record iniesta 99 spain game : 77w - 12d - 10l fcblive esp goal : 12 , assist : 23 , trophy : 2 euro 1 world cup [ …"
2_0,2,0,0,1403538600000,user : today 's match good world cup au spa ned chi cam bra cro mex
2_0,2,0,0,1403538601000,"10 min go , prediction : ned 3-1 chi au 1-1 esp"
2_0,2,0,0,1403538601000,world cup2014 shirt day - day 12 esp : getting shirt way since chi chi chi
2_0,2,0,0,1403538601000,au & esp square today last group.who supporting ? go socceroos vamos españa
2_0,2,0,0,1403538603000,prediction : ned 1 - 1 chi au 2 - 1 esp cro 3 - 2 mex cmr 0 - 5 bra
2_0,2,0,0,1403538604000,socceroos confident going esp ! check user :
2_0,2,0,0,1403538604000,iniesta score today au 'll giveaway pair nike magistas . retweet follow enter .
2_0,2,0,0,1403538604000,"starting line australia xi : ryan , davidson , spiranovic , leckie , taggart , oar , bozanic , jedinak ( c ) , mckay , mcgowan , …"
2_0,2,0,0,1403538604000,today 's worldcup game ( 1/2 ) au v esp ausesp ( gp b ) ned v chi nedchi ( gp b ) build :
2_0,2,0,0,1403538604000,get ready another absolutely stonkingly good game football ! ! world cup world cup2014 au esp ausesp
2_0,2,0,0,1403538605000,analysis 10 min kick-off . follow au v esp ned v chi user
2_0,2,0,0,1403538606000,"au lineup : ryan , davidson , spiranovic , leckie , taggart , oar , bozanic , jedinak ( c ) , mckay , mcgowan , wilkinso"
2_0,2,0,0,1403538606000,"ten minute , ned play chi & au play esp . think win ? prediction : world cup"
2_0,2,0,0,1403538607000,spain 's starting eleven enough win competition unfortunately already ! au - esp world cup2014
2_0,2,0,0,1403538608000,good luck aussie au coome guy world cup espaus
2_0,2,0,0,1403538608000,"neutral , mean today support team le supporter .. go chi esp"
2_0,2,0,0,1403538608000,alright spain ca n't advance least go get pride let 's go spanishpride esp fifa world cup
2_0,2,0,0,1403538609000,world cup goal league ger bundesliga 18 eng pl 17 esp la liga 13 fra ligue 1 8 ita serie 8 mex liga mx 4 usa ml 4 por liga 4
2_0,2,0,0,1403538609000,deserving round applause due user banner au socceroos
2_0,2,0,0,1403538610000,yes ! ! ! rt user : ready ! au v esp 12pm et ned v chi 12pm et cmr v bra 4pm et cro v mex 4pm et
2_0,2,0,0,1403538610000,van gaal least 10/12 day extra working full squad esp gathered together . big difference sharpness & fitness
2_0,2,0,0,1403538611000,iniesta score esp 'll give away pair nike mercurial superfly ! rt & follow user enter !
2_0,2,0,0,1403538611000,horse betting today ! ! esp v au | ned v chi score l g
2_0,2,0,0,1403538611000,"au line-up : ryan , davidson , spiranovic , leckie , taggart , oar , bozanic , jedinak ( c ) , mckay , mcgowan , wilkinson auses…"
2_0,2,0,0,1403538611000,iker casillas dropped spain . del bosque picked pepe reina start australia ahead david de …
2_0,2,0,0,1403538612000,l f c world cup : lfc 's user start esp final group game au . kick 5pm bst
2_0,2,0,0,1403538612000,"australia starting xi : ryan , davidson , spiranovic , leckie , taggart , oar , bozanic , jedinak , mckay , mcgowan , wilkinson . au"
2_0,2,0,0,1403538612000,'ve compared today 's world cup team thing footwork au esp chi ned
2_0,2,0,0,1403538613000,user iniesta esp mercurial haha ! really hope keep beauty !
2_0,2,0,0,1403538614000,"au line-up : ryan , davidson , spiranovic , leckie , taggart , oar , bozanic , jedinak ( c ) , mckay , mcgowan , wilkinson ausesp …"
2_0,2,0,0,1403538614000,ned v chi ! au v esp ! watching first 're fighting top spot ! gon na good ! world cu…
2_0,2,0,0,1403538614000,world cup : watch au vs. esp 9am user watchespn
2_0,2,0,0,1403538614000,bad group b play group 😳 😥 still sad esp 's got confused 😔 haha
