ID,MatchID,PeriodID,EventType,Timestamp,Tweet
7_0,7,0,0,1403538600000,watch ned v chi 2014 wc match online hd ned chi n e dvs c h world cup2014 brazil2014 00
7_0,7,0,0,1403538600000,sanchez score ned 'll giveaway pair nike superflys . retweet follow enter .
7_0,7,0,0,1403538600000,user score v chi 'll award pair hypervenom one lucky winner ! follow rt enter !
7_0,7,0,0,1403538600000,'m looking forward today hol vs. chi mex vs. cro bra vs. cam ☺☺😎😎🙌
7_0,7,0,0,1403538600000,follow netherlands v chile live ! prediction ? world cup ned chi
7_0,7,0,0,1403538600000,ned
7_0,7,0,0,1403538600000,"van persie suspended , 1st time since 1996 ( 221 match ) dutch fielding 'van ' internati…"
7_0,7,0,0,1403538600000,hey user user avoid blonde moment . dutch = netherlands . guided . ned v chi worldcup2014
7_0,7,0,0,1403538600000,vargas score v ned 'll award pair mercurial superfly one lucky winner ! follow rt enter !
7_0,7,0,0,1403538600000,ned tienes q ganar ! empatas world cup2014
7_0,7,0,0,1403538600000,someone please tell matt smith stop tapping fucking leg presenting brazilian beach set itvworldcup chi ned
7_0,7,0,0,1403538600000,user tweet trending right ned team channel brazil2014 world cup
7_0,7,0,0,1403538600000,user : today 's match good world cup au spa ned chi cam bra cro mex
7_0,7,0,0,1403538601000,pick world cup side ! retweet ned favorite chi hollandvs chile
7_0,7,0,0,1403538601000,"10 min go , prediction : ned 3-1 chi au 1-1 esp"
7_0,7,0,0,1403538601000,"ned team selection say 'd prefer meet bra sooner rather later 're win , go far ."
7_0,7,0,0,1403538601000,robben score first v chi 'll giveaway ps4 . must follow user retweet enter ! world cup ned
7_0,7,0,0,1403538601000,retweet support - > ned ned ned ned ned ned ned ned ned ned ned ned ned ned ned ned ned ned ned…
7_0,7,0,0,1403538601000,world cup2014 shirt day - day 12 esp : getting shirt way since chi chi chi
7_0,7,0,0,1403538601000,hup holland ! ned v chi
7_0,7,0,0,1403538601000,heree huphollandhup ned nedchi
7_0,7,0,0,1403538601000,"chi ned today , let 's go chile 👏😤"
7_0,7,0,0,1403538601000,'m going chile chi
7_0,7,0,0,1403538601000,poule b world cup . retweet chi ( left ) favorite ned ( right ) chivsned
7_0,7,0,0,1403538602000,"amazing stat : today , first time 221 match , netherlands line-up without 'van ' side . ned"
7_0,7,0,0,1403538602000,winner ned v chi match 'll give away jersey ! enter : 1. follow u . 2. retweet .
